gt,fid,group,tier,bed,id,canopy_area_sq_m,mNDVI_mean,mNDVI_median,mNDVI_max,cDSM_mean,cDSM_max,sDSM_median,mean_can_height,max_can_height,can_volume,date,count_thermal,mean_thermal,median_thermal,median.thermal.filtered.to.remove.poor.stands,stdev_thermal,min_thermal,max_thermal,name,entry.type,num,treatment
267,1657,south,25,49,1657,0.641294691,0.656167053,0.662682772,0.801540852,14.76338008,14.80744839,14.74796009,0.015419987,0.059488297,0.009888756,07-06-21,NA,NA,NA,NA,NA,NA,NA,M7.64,MAGIC family 7,267,control
267,1657,south,25,49,1657,10.1826137,0.669328816,NA,0.858823538,13.04256188,13.2245388,12.88761711,0.154944767,0.336921692,1.577742712,09-28-21,306,27.41968654,27.30918945,27.30918945,1.259748604,25.28238281,32.86166016,M7.64,MAGIC family 7,267,control
288,1658,south,26,49,1658,5.765843834,0.80008784,0.836678624,0.89925319,16.12773456,16.35047913,15.87398148,0.253753085,0.47649765,1.463100662,08-10-21,300,25.60023574,23.62524414,23.62524414,4.892295613,21.60976563,44.92652344,M8.20,MAGIC family 8,288,control
288,1658,south,26,49,1658,8.245052368,0.817495062,NA,0.916044354,16.08730054,16.32518005,15.80155468,0.285745862,0.523625374,2.355989593,08-24-21,300,34.87800794,34.20636719,34.20636719,2.183043531,32.96789063,48.67832031,M8.20,MAGIC family 8,288,control
288,1658,south,26,49,1658,0.267788468,0.617882805,0.616113722,0.753305137,14.73235347,14.74700165,14.72883224,0.00352123,0.018169403,0.000942945,07-06-21,NA,NA,NA,NA,NA,NA,NA,M8.20,MAGIC family 8,288,control
288,1658,south,26,49,1658,10.5136809,0.673543309,NA,0.878769934,13.07782651,13.28595352,12.88554764,0.19227887,0.400405884,2.021558685,09-28-21,288,26.45554654,26.21994141,26.21994141,1.236939434,25.18970703,35.30595703,M8.20,MAGIC family 8,288,control
8,1659,south,27,49,1659,6.411564705,0.780148937,0.819284797,0.885765195,16.12053724,16.35116196,15.86996651,0.250570736,0.48119545,1.606550487,08-10-21,300,24.95941452,23.86625,23.86625,3.27456439,21.88724609,41.29025391,UCD 9634,MAGIC parent,8,control
8,1659,south,27,49,1659,9.505614476,0.648584047,NA,0.85656935,13.03209786,13.19700623,12.89886618,0.133231687,0.298140049,1.266449057,09-28-21,318,27.20843277,27.08288086,27.08288086,0.9396927,25.63490234,30.39597656,UCD 9634,MAGIC parent,8,control
8,1659,south,27,49,1659,8.007073681,0.794797456,NA,0.896647692,16.02358315,16.21475792,15.79904747,0.224535681,0.415710449,1.797873742,08-24-21,300,35.74223438,35.1721875,35.1721875,1.500969181,34.02439453,43.24873047,UCD 9634,MAGIC parent,8,control
8,1659,south,27,49,1659,0.523207696,0.629016388,0.631568044,0.770224512,14.7243027,14.74445248,14.71242142,0.011881282,0.032031059,0.006216378,07-06-21,NA,NA,NA,NA,NA,NA,NA,UCD 9634,MAGIC parent,8,control
